product_id,merchant_id,product_name,product_category,offering_type,unit_price,is_physical,return_eligible
PROD000028,M000006,Paneer Butter Masala & Naan Meal,Main Course,food_item,321.75,0,0
PROD000029,M000006,Wood-Fired Margherita Pizza,Italian,food_item,505.15,0,0
PROD000030,M000006,Fresh Fruit Smoothie & Salad,Beverages & Healthy,food_item,207.61,0,0
PROD000031,M000006,Gourmet Chocolate Lava Cake,Desserts,food_item,179.18,0,0
PROD000032,M000007,Slim Fit Denim Jeans,Fashion,fashion_apparel,1239.28,1,1
PROD000033,M000007,Wireless Noise-Canceling Earbuds,Electronics,electronic_accessory,2010.26,1,1
PROD000034,M000007,Organic Hydrating Skincare Kit,Beauty,cosmetics_kit,1072.72,1,1
PROD000035,M000007,Stainless Steel Water Bottle,Lifestyle,general_item,607.67,1,1
PROD000036,M000007,Ergonomic Desk Chair Cushion,Home Office,home_decor,1278.21,1,1
PROD000037,M000008,Complete Blood Count (CBC) Test,Lab Tests,lab_test,1074.4,0,0
PROD000038,M000008,Comprehensive Health Checkup Package,Health Packages,diagnostic_package,2995.05,0,0
PROD000039,M000008,Vitamin D & B12 Screening Profile,Specialized Screening,lab_test,1675.42,0,0
PROD000040,M000008,HbA1c Diabetes Monitoring Test,Chronic Care,lab_test,395.17,0,0
PROD000041,M000009,Annual All-Gym Access Pass,Memberships,gym_membership,15756.75,0,0
PROD000042,M000009,Monthly Unlimited Crossfit Membership,Memberships,gym_membership,4819.28,0,0
PROD000043,M000009,Personal Training 10-Session Bundle,Personal Training,personal_training,8873.57,0,0
PROD000044,M000009,Yoga & Pilates Group Class Pass,Group Classes,fitness_class,4094.53,0,0
PROD000045,M000010,UPSC Complete Foundation Course 2026,Competitive Exams,exam_course,16594.3,0,0
PROD000046,M000010,Mains Answer Writing Test Series,Test Series,test_series,6353.38,0,0
PROD000047,M000010,Monthly Current Affairs & Magazine Pass,Study Material,study_material,2330.47,0,0
PROD000048,M000010,CSAT Aptitude Intensive Crash Course,Short Courses,exam_course,50.0,0,0
PROD000049,M000011,Crochet Tote Bag,Apparel & Accessories,handmade_accessory,1144.82,1,1
PROD000050,M000011,Amigurumi Plush Toy,Toys & Hobbies,crochet_toy,994.18,1,1
PROD000051,M000011,Handcrafted Crochet Cardigan,Fashion & Apparel,fashion_apparel,3297.03,1,1
PROD000052,M000011,Custom Keychains Set,Gifts & Novelties,handicraft_item,592.55,1,1
PROD000053,M000011,Embroidered Cushion Cover,Home & Living,home_decor,1019.26,1,1
PROD000054,M000012,Annual All-Gym Access Pass,Memberships,gym_membership,14916.88,0,0
PROD000055,M000012,Monthly Unlimited Crossfit Membership,Memberships,gym_membership,3669.03,0,0
PROD000056,M000012,Personal Training 10-Session Bundle,Personal Training,personal_training,8596.63,0,0
PROD000057,M000012,Yoga & Pilates Group Class Pass,Group Classes,fitness_class,1711.74,0,0
PROD000058,M000013,Starter Developer API License,Software Subscriptions,saas_plan,2605.2,0,0
PROD000059,M000013,Pro Engineering Team Subscription,Software Subscriptions,saas_plan,7420.06,0,0
PROD000060,M000013,Enterprise Infrastructure Plan,Software Subscriptions,saas_plan,25248.39,0,0
PROD000061,M000013,Custom Domain & SSL Add-on,Add-on Services,saas_plan,2021.71,0,0
PROD000062,M000013,Priority 24/7 Technical Support Pass,Support Services,saas_plan,2131.71,0,0
PROD000063,M000014,Performance Running Shoes,Footwear,footwear,3332.74,1,1
PROD000064,M000014,Urban Casual Sneakers,Footwear,footwear,3103.77,1,1
PROD000065,M000014,Leather Formal Shoes,Footwear,footwear,4073.89,1,1
PROD000066,M000014,Breathable Sports Sandals,Footwear,footwear,1887.19,1,1
PROD000067,M000014,Waterproof Trail Shoes,Footwear,footwear,5048.28,1,1
PROD000068,M000015,Performance Running Shoes,Footwear,footwear,3473.98,1,1
PROD000069,M000015,Urban Casual Sneakers,Footwear,footwear,2772.23,1,1
PROD000070,M000015,Leather Formal Shoes,Footwear,footwear,3912.71,1,1
PROD000071,M000015,Breathable Sports Sandals,Footwear,footwear,2266.65,1,1
PROD000072,M000015,Waterproof Trail Shoes,Footwear,footwear,4872.75,1,1
PROD000073,M000015,Performance Running Shoes,Footwear,footwear,3495.28,1,1
PROD000074,M000016,Performance Running Shoes,Footwear,footwear,3554.45,1,1
PROD000075,M000016,Urban Casual Sneakers,Footwear,footwear,3134.96,1,1
PROD000076,M000016,Leather Formal Shoes,Footwear,footwear,4329.69,1,1
PROD000077,M000016,Breathable Sports Sandals,Footwear,footwear,1944.24,1,1
PROD000078,M000017,Performance Running Shoes,Footwear,footwear,3673.79,1,1
PROD000079,M000017,Urban Casual Sneakers,Footwear,footwear,3637.39,1,1
PROD000080,M000017,Leather Formal Shoes,Footwear,footwear,3707.25,1,1
PROD000081,M000017,Breathable Sports Sandals,Footwear,footwear,1889.42,1,1
PROD000082,M000018,Special Chicken Biryani Combo,Main Course,food_item,328.67,0,0
PROD000083,M000018,Paneer Butter Masala & Naan Meal,Main Course,food_item,323.1,0,0
PROD000084,M000018,Wood-Fired Margherita Pizza,Italian,food_item,513.28,0,0
PROD000085,M000018,Fresh Fruit Smoothie & Salad,Beverages & Healthy,food_item,190.64,0,0
PROD000086,M000018,Gourmet Chocolate Lava Cake,Desserts,food_item,181.01,0,0
PROD000087,M000018,Special Chicken Biryani Combo,Main Course,food_item,399.89,0,0
PROD000088,M000019,Slim Fit Denim Jeans,Fashion,fashion_apparel,1672.55,1,1
PROD000089,M000019,Wireless Noise-Canceling Earbuds,Electronics,electronic_accessory,3034.89,1,1
PROD000090,M000019,Organic Hydrating Skincare Kit,Beauty,cosmetics_kit,1017.37,1,1
PROD000091,M000019,Stainless Steel Water Bottle,Lifestyle,general_item,537.3,1,1
PROD000092,M000019,Ergonomic Desk Chair Cushion,Home Office,home_decor,996.73,1,1
PROD000093,M000020,Performance Running Shoes,Footwear,footwear,3530.12,1,1
PROD000094,M000020,Urban Casual Sneakers,Footwear,footwear,2842.22,1,1
PROD000095,M000020,Leather Formal Shoes,Footwear,footwear,4266.26,1,1
PROD000096,M000020,Breathable Sports Sandals,Footwear,footwear,1846.74,1,1
PROD000097,M000020,Waterproof Trail Shoes,Footwear,footwear,5319.42,1,1
PROD000098,M000021,Special Chicken Biryani Combo,Main Course,food_item,390.64,0,0
PROD000099,M000021,Paneer Butter Masala & Naan Meal,Main Course,food_item,304.18,0,0
PROD000100,M000021,Wood-Fired Margherita Pizza,Italian,food_item,663.64,0,0
PROD000101,M000021,Fresh Fruit Smoothie & Salad,Beverages & Healthy,food_item,255.63,0,0
PROD000102,M000022,Crochet Tote Bag,Apparel & Accessories,handmade_accessory,1090.59,1,1
PROD000103,M000022,Amigurumi Plush Toy,Toys & Hobbies,crochet_toy,971.67,1,1
PROD000104,M000022,Handcrafted Crochet Cardigan,Fashion & Apparel,fashion_apparel,3440.24,1,1
PROD000105,M000022,Custom Keychains Set,Gifts & Novelties,handicraft_item,496.22,1,1
PROD000106,M000023,Performance Running Shoes,Footwear,footwear,3148.67,1,1
PROD000107,M000023,Urban Casual Sneakers,Footwear,footwear,2568.14,1,1
PROD000108,M000023,Leather Formal Shoes,Footwear,footwear,3997.83,1,1
PROD000109,M000023,Breathable Sports Sandals,Footwear,footwear,2527.73,1,1
PROD000110,M000024,Slim Fit Denim Jeans,Fashion,fashion_apparel,1751.95,1,1
PROD000111,M000024,Wireless Noise-Canceling Earbuds,Electronics,electronic_accessory,2276.97,1,1
PROD000112,M000024,Organic Hydrating Skincare Kit,Beauty,cosmetics_kit,867.84,1,1
PROD000113,M000024,Stainless Steel Water Bottle,Lifestyle,general_item,592.52,1,1
PROD000114,M000025,Slim Fit Denim Jeans,Fashion,fashion_apparel,1295.35,1,1
PROD000115,M000025,Wireless Noise-Canceling Earbuds,Electronics,electronic_accessory,2472.32,1,1
PROD000116,M000025,Organic Hydrating Skincare Kit,Beauty,cosmetics_kit,957.73,1,1
PROD000117,M000025,Stainless Steel Water Bottle,Lifestyle,general_item,570.75,1,1
PROD000118,M000026,Starter Developer API License,Software Subscriptions,saas_plan,2719.81,0,0
PROD000119,M000026,Pro Engineering Team Subscription,Software Subscriptions,saas_plan,7537.74,0,0
PROD000120,M000026,Enterprise Infrastructure Plan,Software Subscriptions,saas_plan,23944.64,0,0
PROD000121,M000026,Custom Domain & SSL Add-on,Add-on Services,saas_plan,1593.53,0,0
PROD000122,M000026,Priority 24/7 Technical Support Pass,Support Services,saas_plan,3368.27,0,0
PROD000123,M000027,Performance Running Shoes,Footwear,footwear,3321.06,1,1
PROD000124,M000027,Urban Casual Sneakers,Footwear,footwear,3225.6,1,1
PROD000125,M000027,Leather Formal Shoes,Footwear,footwear,4508.83,1,1
PROD000126,M000027,Breathable Sports Sandals,Footwear,footwear,2193.3,1,1
PROD000127,M000028,Special Chicken Biryani Combo,Main Course,food_item,350.48,0,0
PROD000128,M000028,Paneer Butter Masala & Naan Meal,Main Course,food_item,283.51,0,0
PROD000129,M000028,Wood-Fired Margherita Pizza,Italian,food_item,429.58,0,0
PROD000130,M000028,Fresh Fruit Smoothie & Salad,Beverages & Healthy,food_item,240.72,0,0
PROD000131,M000028,Gourmet Chocolate Lava Cake,Desserts,food_item,161.24,0,0
PROD000132,M000028,Special Chicken Biryani Combo,Main Course,food_item,391.9,0,0
PROD000133,M000029,Special Chicken Biryani Combo,Main Course,food_item,322.12,0,0
PROD000134,M000029,Paneer Butter Masala & Naan Meal,Main Course,food_item,429.82,0,0
PROD000135,M000029,Wood-Fired Margherita Pizza,Italian,food_item,471.19,0,0
PROD000136,M000029,Fresh Fruit Smoothie & Salad,Beverages & Healthy,food_item,311.7,0,0
PROD000137,M000029,Gourmet Chocolate Lava Cake,Desserts,food_item,176.87,0,0
PROD000138,M000030,Crochet Tote Bag,Apparel & Accessories,handmade_accessory,1131.25,1,1
PROD000139,M000030,Amigurumi Plush Toy,Toys & Hobbies,crochet_toy,719.61,1,1
PROD000140,M000030,Handcrafted Crochet Cardigan,Fashion & Apparel,fashion_apparel,3209.15,1,1
PROD000141,M000030,Custom Keychains Set,Gifts & Novelties,handicraft_item,441.97,1,1
PROD000142,M000030,Embroidered Cushion Cover,Home & Living,home_decor,889.22,1,1
PROD000143,M000031,Special Chicken Biryani Combo,Main Course,food_item,408.74,0,0
PROD000144,M000031,Paneer Butter Masala & Naan Meal,Main Course,food_item,276.0,0,0
PROD000145,M000031,Wood-Fired Margherita Pizza,Italian,food_item,450.76,0,0
PROD000146,M000031,Fresh Fruit Smoothie & Salad,Beverages & Healthy,food_item,226.26,0,0
PROD000147,M000031,Gourmet Chocolate Lava Cake,Desserts,food_item,191.06,0,0
PROD000148,M000032,Performance Running Shoes,Footwear,footwear,3582.69,1,1
PROD000149,M000032,Urban Casual Sneakers,Footwear,footwear,2686.79,1,1
PROD000150,M000032,Leather Formal Shoes,Footwear,footwear,4117.43,1,1
PROD000151,M000032,Breathable Sports Sandals,Footwear,footwear,1954.72,1,1
PROD000152,M000032,Waterproof Trail Shoes,Footwear,footwear,4980.52,1,1
PROD000153,M000033,Crochet Tote Bag,Apparel & Accessories,handmade_accessory,1193.57,1,1
PROD000154,M000033,Amigurumi Plush Toy,Toys & Hobbies,crochet_toy,557.09,1,1
PROD000155,M000033,Handcrafted Crochet Cardigan,Fashion & Apparel,fashion_apparel,3133.82,1,1
PROD000156,M000033,Custom Keychains Set,Gifts & Novelties,handicraft_item,446.97,1,1
PROD000157,M000034,Annual All-Gym Access Pass,Memberships,gym_membership,14507.32,0,0
PROD000158,M000034,Monthly Unlimited Crossfit Membership,Memberships,gym_membership,3654.43,0,0
PROD000159,M000034,Personal Training 10-Session Bundle,Personal Training,personal_training,10664.49,0,0
PROD000160,M000034,Yoga & Pilates Group Class Pass,Group Classes,fitness_class,50.0,0,0
PROD000161,M000035,Annual All-Gym Access Pass,Memberships,gym_membership,14822.76,0,0
PROD000162,M000035,Monthly Unlimited Crossfit Membership,Memberships,gym_membership,3351.62,0,0
PROD000163,M000035,Personal Training 10-Session Bundle,Personal Training,personal_training,8426.2,0,0
PROD000164,M000035,Yoga & Pilates Group Class Pass,Group Classes,fitness_class,2004.26,0,0
PROD000165,M000035,Nutrition & Meal Plan Consultation,Wellness & Diet,nutrition_plan,1574.26,0,0
PROD000166,M000035,Annual All-Gym Access Pass,Memberships,gym_membership,14942.69,0,0
PROD000167,M000036,Starter Developer API License,Software Subscriptions,saas_plan,1823.39,0,0
PROD000168,M000036,Pro Engineering Team Subscription,Software Subscriptions,saas_plan,7618.67,0,0
PROD000169,M000036,Enterprise Infrastructure Plan,Software Subscriptions,saas_plan,23789.2,0,0
PROD000170,M000036,Custom Domain & SSL Add-on,Add-on Services,saas_plan,2191.16,0,0
PROD000171,M000036,Priority 24/7 Technical Support Pass,Support Services,saas_plan,4675.73,0,0
PROD000172,M000037,Performance Running Shoes,Footwear,footwear,3710.21,1,1
PROD000173,M000037,Urban Casual Sneakers,Footwear,footwear,3042.99,1,1
PROD000174,M000037,Leather Formal Shoes,Footwear,footwear,3896.94,1,1
PROD000175,M000037,Breathable Sports Sandals,Footwear,footwear,1460.6,1,1
PROD000176,M000038,Crochet Tote Bag,Apparel & Accessories,handmade_accessory,1146.0,1,1
PROD000177,M000038,Amigurumi Plush Toy,Toys & Hobbies,crochet_toy,880.74,1,1
PROD000178,M000038,Handcrafted Crochet Cardigan,Fashion & Apparel,fashion_apparel,3015.06,1,1
PROD000179,M000038,Custom Keychains Set,Gifts & Novelties,handicraft_item,398.67,1,1
PROD000180,M000038,Embroidered Cushion Cover,Home & Living,home_decor,962.96,1,1
PROD000181,M000038,Crochet Tote Bag,Apparel & Accessories,handmade_accessory,1210.64,1,1
PROD000182,M000039,Domestic Economy Flight Ticket,Flights,flight_booking,5861.54,0,0
PROD000183,M000039,3-Star Hotel Stay (2 Nights),Accommodation,hotel_stay,7315.8,0,0
PROD000184,M000039,Goa Beach Resort Holiday Package,Vacation Packages,vacation_package,17461.8,0,0
PROD000185,M000039,Outstation Cab Rental (Full Day),Transportation,car_rental,4084.59,0,0
PROD000186,M000039,Heritage City Guided Tour,Activities & Tours,tour_package,3455.33,0,0
PROD000187,M000040,Slim Fit Denim Jeans,Fashion,fashion_apparel,1605.89,1,1
PROD000188,M000040,Wireless Noise-Canceling Earbuds,Electronics,electronic_accessory,2459.93,1,1
PROD000189,M000040,Organic Hydrating Skincare Kit,Beauty,cosmetics_kit,830.89,1,1
PROD000190,M000040,Stainless Steel Water Bottle,Lifestyle,general_item,485.09,1,1
PROD000191,M000040,Ergonomic Desk Chair Cushion,Home Office,home_decor,1246.25,1,1
PROD000192,M000040,Slim Fit Denim Jeans,Fashion,fashion_apparel,1602.73,1,1
PROD000193,M000041,Crochet Tote Bag,Apparel & Accessories,handmade_accessory,1357.01,1,1
PROD000194,M000041,Amigurumi Plush Toy,Toys & Hobbies,crochet_toy,598.09,1,1
PROD000195,M000041,Handcrafted Crochet Cardigan,Fashion & Apparel,fashion_apparel,2839.15,1,1
PROD000196,M000041,Custom Keychains Set,Gifts & Novelties,handicraft_item,911.94,1,1
PROD000197,M000041,Embroidered Cushion Cover,Home & Living,home_decor,846.44,1,1
PROD000198,M000042,Slim Fit Denim Jeans,Fashion,fashion_apparel,1252.33,1,1
PROD000199,M000042,Wireless Noise-Canceling Earbuds,Electronics,electronic_accessory,2042.67,1,1
PROD000200,M000042,Organic Hydrating Skincare Kit,Beauty,cosmetics_kit,1363.66,1,1
PROD000201,M000042,Stainless Steel Water Bottle,Lifestyle,general_item,1061.25,1,1
PROD000202,M000042,Ergonomic Desk Chair Cushion,Home Office,home_decor,1544.81,1,1
PROD000203,M000042,Slim Fit Denim Jeans,Fashion,fashion_apparel,1961.96,1,1
PROD000204,M000043,Crochet Tote Bag,Apparel & Accessories,handmade_accessory,1004.42,1,1
PROD000205,M000043,Amigurumi Plush Toy,Toys & Hobbies,crochet_toy,1045.54,1,1
PROD000206,M000043,Handcrafted Crochet Cardigan,Fashion & Apparel,fashion_apparel,3428.04,1,1
PROD000207,M000043,Custom Keychains Set,Gifts & Novelties,handicraft_item,530.84,1,1
PROD000208,M000044,Complete Blood Count (CBC) Test,Lab Tests,lab_test,609.85,0,0
PROD000209,M000044,Comprehensive Health Checkup Package,Health Packages,diagnostic_package,3069.92,0,0
PROD000210,M000044,Vitamin D & B12 Screening Profile,Specialized Screening,lab_test,1542.92,0,0
PROD000211,M000044,HbA1c Diabetes Monitoring Test,Chronic Care,lab_test,430.59,0,0
PROD000212,M000045,Performance Running Shoes,Footwear,footwear,2906.69,1,1
PROD000213,M000045,Urban Casual Sneakers,Footwear,footwear,3409.04,1,1
PROD000214,M000045,Leather Formal Shoes,Footwear,footwear,3487.16,1,1
PROD000215,M000045,Breathable Sports Sandals,Footwear,footwear,1480.41,1,1
PROD000216,M000045,Waterproof Trail Shoes,Footwear,footwear,5016.92,1,1
PROD000217,M000046,Domestic Economy Flight Ticket,Flights,flight_booking,4376.26,0,0
PROD000218,M000046,3-Star Hotel Stay (2 Nights),Accommodation,hotel_stay,5250.37,0,0
PROD000219,M000046,Goa Beach Resort Holiday Package,Vacation Packages,vacation_package,15384.69,0,0
PROD000220,M000046,Outstation Cab Rental (Full Day),Transportation,car_rental,2993.0,0,0
PROD000221,M000046,Heritage City Guided Tour,Activities & Tours,tour_package,761.04,0,0
PROD000222,M000046,Domestic Economy Flight Ticket,Flights,flight_booking,2839.92,0,0
PROD000223,M000047,Performance Running Shoes,Footwear,footwear,2940.86,1,1
PROD000224,M000047,Urban Casual Sneakers,Footwear,footwear,1831.53,1,1
PROD000225,M000047,Leather Formal Shoes,Footwear,footwear,4748.1,1,1
PROD000226,M000047,Breathable Sports Sandals,Footwear,footwear,1451.48,1,1
PROD000227,M000047,Waterproof Trail Shoes,Footwear,footwear,5591.42,1,1
PROD000228,M000047,Performance Running Shoes,Footwear,footwear,2709.46,1,1
PROD000229,M000048,Special Chicken Biryani Combo,Main Course,food_item,341.51,0,0
PROD000230,M000048,Paneer Butter Masala & Naan Meal,Main Course,food_item,218.65,0,0
PROD000231,M000048,Wood-Fired Margherita Pizza,Italian,food_item,559.61,0,0
PROD000232,M000048,Fresh Fruit Smoothie & Salad,Beverages & Healthy,food_item,290.82,0,0
PROD000233,M000048,Gourmet Chocolate Lava Cake,Desserts,food_item,267.11,0,0
PROD000234,M000048,Special Chicken Biryani Combo,Main Course,food_item,465.33,0,0
PROD000235,M000049,Special Chicken Biryani Combo,Main Course,food_item,357.73,0,0
PROD000236,M000049,Paneer Butter Masala & Naan Meal,Main Course,food_item,283.54,0,0
PROD000237,M000049,Wood-Fired Margherita Pizza,Italian,food_item,475.34,0,0
PROD000238,M000049,Fresh Fruit Smoothie & Salad,Beverages & Healthy,food_item,126.83,0,0
PROD000239,M000049,Gourmet Chocolate Lava Cake,Desserts,food_item,182.27,0,0
PROD000240,M000049,Special Chicken Biryani Combo,Main Course,food_item,433.65,0,0
PROD000241,M000050,Performance Running Shoes,Footwear,footwear,3695.99,1,1
PROD000242,M000050,Urban Casual Sneakers,Footwear,footwear,2458.89,1,1
PROD000243,M000050,Leather Formal Shoes,Footwear,footwear,3930.21,1,1
PROD000244,M000050,Breathable Sports Sandals,Footwear,footwear,2182.49,1,1
PROD000245,M000051,Annual All-Gym Access Pass,Memberships,gym_membership,15085.63,0,0
PROD000246,M000051,Monthly Unlimited Crossfit Membership,Memberships,gym_membership,2447.36,0,0
PROD000247,M000051,Personal Training 10-Session Bundle,Personal Training,personal_training,8891.59,0,0
PROD000248,M000051,Yoga & Pilates Group Class Pass,Group Classes,fitness_class,1462.68,0,0
PROD000249,M000051,Nutrition & Meal Plan Consultation,Wellness & Diet,nutrition_plan,2233.79,0,0
PROD000250,M000052,UPSC Complete Foundation Course 2026,Competitive Exams,exam_course,10342.9,0,0
PROD000251,M000052,Mains Answer Writing Test Series,Test Series,test_series,8153.52,0,0
PROD000252,M000052,Monthly Current Affairs & Magazine Pass,Study Material,study_material,259.25,0,0
PROD000253,M000052,CSAT Aptitude Intensive Crash Course,Short Courses,exam_course,5147.41,0,0
PROD000254,M000053,Complete Blood Count (CBC) Test,Lab Tests,lab_test,1176.44,0,0
PROD000255,M000053,Comprehensive Health Checkup Package,Health Packages,diagnostic_package,3005.73,0,0
PROD000256,M000053,Vitamin D & B12 Screening Profile,Specialized Screening,lab_test,1305.12,0,0
PROD000257,M000053,HbA1c Diabetes Monitoring Test,Chronic Care,lab_test,201.53,0,0
PROD000258,M000053,Home Sample Collection Service Charge,Home Care,home_sample_collection,917.46,0,0
PROD000259,M000054,Complete Blood Count (CBC) Test,Lab Tests,lab_test,50.0,0,0
PROD000260,M000054,Comprehensive Health Checkup Package,Health Packages,diagnostic_package,3856.51,0,0
PROD000261,M000054,Vitamin D & B12 Screening Profile,Specialized Screening,lab_test,1668.06,0,0
PROD000262,M000054,HbA1c Diabetes Monitoring Test,Chronic Care,lab_test,640.08,0,0
PROD000263,M000055,Special Chicken Biryani Combo,Main Course,food_item,295.55,0,0
PROD000264,M000055,Paneer Butter Masala & Naan Meal,Main Course,food_item,320.92,0,0
PROD000265,M000055,Wood-Fired Margherita Pizza,Italian,food_item,431.9,0,0
PROD000266,M000055,Fresh Fruit Smoothie & Salad,Beverages & Healthy,food_item,290.44,0,0
PROD000267,M000055,Gourmet Chocolate Lava Cake,Desserts,food_item,142.02,0,0
PROD000268,M000055,Special Chicken Biryani Combo,Main Course,food_item,395.57,0,0
PROD000269,M000056,Complete Blood Count (CBC) Test,Lab Tests,lab_test,741.59,0,0
PROD000270,M000056,Comprehensive Health Checkup Package,Health Packages,diagnostic_package,3668.26,0,0
PROD000271,M000056,Vitamin D & B12 Screening Profile,Specialized Screening,lab_test,1986.9,0,0
PROD000272,M000056,HbA1c Diabetes Monitoring Test,Chronic Care,lab_test,922.03,0,0
PROD000273,M000056,Home Sample Collection Service Charge,Home Care,home_sample_collection,50.0,0,0
PROD000274,M000057,Crochet Tote Bag,Apparel & Accessories,handmade_accessory,1202.2,1,1
PROD000275,M000057,Amigurumi Plush Toy,Toys & Hobbies,crochet_toy,879.32,1,1
PROD000276,M000057,Handcrafted Crochet Cardigan,Fashion & Apparel,fashion_apparel,3243.27,1,1
PROD000277,M000057,Custom Keychains Set,Gifts & Novelties,handicraft_item,501.08,1,1
PROD000278,M000057,Embroidered Cushion Cover,Home & Living,home_decor,953.71,1,1
PROD000279,M000057,Crochet Tote Bag,Apparel & Accessories,handmade_accessory,1129.76,1,1
PROD000280,M000058,Performance Running Shoes,Footwear,footwear,3916.01,1,1
PROD000281,M000058,Urban Casual Sneakers,Footwear,footwear,2841.08,1,1
PROD000282,M000058,Leather Formal Shoes,Footwear,footwear,4037.21,1,1
PROD000283,M000058,Breathable Sports Sandals,Footwear,footwear,1857.96,1,1
PROD000284,M000058,Waterproof Trail Shoes,Footwear,footwear,4904.88,1,1
PROD000285,M000058,Performance Running Shoes,Footwear,footwear,3931.26,1,1
PROD000286,M000059,Crochet Tote Bag,Apparel & Accessories,handmade_accessory,1119.78,1,1
PROD000287,M000059,Amigurumi Plush Toy,Toys & Hobbies,crochet_toy,832.53,1,1
PROD000288,M000059,Handcrafted Crochet Cardigan,Fashion & Apparel,fashion_apparel,3405.18,1,1
PROD000289,M000059,Custom Keychains Set,Gifts & Novelties,handicraft_item,600.16,1,1
PROD000290,M000059,Embroidered Cushion Cover,Home & Living,home_decor,629.18,1,1
PROD000291,M000059,Crochet Tote Bag,Apparel & Accessories,handmade_accessory,1578.58,1,1
PROD000292,M000060,Performance Running Shoes,Footwear,footwear,3666.01,1,1
PROD000293,M000060,Urban Casual Sneakers,Footwear,footwear,3263.6,1,1
PROD000294,M000060,Leather Formal Shoes,Footwear,footwear,4182.91,1,1
PROD000295,M000060,Breathable Sports Sandals,Footwear,footwear,2061.59,1,1
PROD000296,M000060,Waterproof Trail Shoes,Footwear,footwear,4798.05,1,1
PROD000297,M000061,Slim Fit Denim Jeans,Fashion,fashion_apparel,1502.76,1,1
PROD000298,M000061,Wireless Noise-Canceling Earbuds,Electronics,electronic_accessory,2421.42,1,1
PROD000299,M000061,Organic Hydrating Skincare Kit,Beauty,cosmetics_kit,1094.67,1,1
PROD000300,M000061,Stainless Steel Water Bottle,Lifestyle,general_item,820.91,1,1
PROD000301,M000061,Ergonomic Desk Chair Cushion,Home Office,home_decor,1543.98,1,1
PROD000302,M000061,Slim Fit Denim Jeans,Fashion,fashion_apparel,1448.74,1,1
PROD000303,M000062,Performance Running Shoes,Footwear,footwear,3778.52,1,1
PROD000304,M000062,Urban Casual Sneakers,Footwear,footwear,3081.55,1,1
PROD000305,M000062,Leather Formal Shoes,Footwear,footwear,4314.8,1,1
PROD000306,M000062,Breathable Sports Sandals,Footwear,footwear,1939.34,1,1
PROD000307,M000063,Starter Developer API License,Software Subscriptions,saas_plan,2474.3,0,0
PROD000308,M000063,Pro Engineering Team Subscription,Software Subscriptions,saas_plan,8498.44,0,0
PROD000309,M000063,Enterprise Infrastructure Plan,Software Subscriptions,saas_plan,26415.79,0,0
PROD000310,M000063,Custom Domain & SSL Add-on,Add-on Services,saas_plan,50.0,0,0
PROD000311,M000064,Slim Fit Denim Jeans,Fashion,fashion_apparel,1502.32,1,1
